heading|activity.type|activity.confidence|activity.timestampMs|verticalAccuracy|velocity|accuracy|longitude|latitude|altitude|timestampMs|userid
,UNKNOWN,3,1582137049000,,,17,217417877,382662596,,1582137057000,55435242412a
,STILL,100,1582137109000,,,26,217417578,382662223,,1582137089000,55435242412a
,IN_CAR,10,1582137165000,,,16,217417644,382662297,,1582137148000,55435242412a
,STILL,100,1582137365000,,,16,217417578,382662223,,1582137253000,55435242412a
,STILL,100,1582137434000,,,16,217417578,382662223,,1582137490000,55435242412a
,STILL,100,1582137614000,,,17,217417578,382662223,,1582137613000,55435242412a
,TILTING,100,1582137868000,,,16,217417578,382662223,,1582137787000,55435242412a
,STILL,100,1582137968000,,,16,217417680,382662301,,1582137970000,55435242412a
,STILL,100,1582138128000,,,35,217417578,382662223,,1582138123000,55435242412a
,STILL,100,1582138222000,,,35,217417578,382662223,,1582138245000,55435242412a
90,STILL,100,1582138612000,,0,16,217417578,382662223,,1582138607000,55435242412a
,STILL,100,1582139699000,,,16,217417695,382662336,,1582139699000,55435242412a
,STILL,100,1582140959000,,,16,217417578,382662223,,1582140957000,55435242412a
,STILL,100,1582141859000,,,16,217417578,382662223,,1582141859000,55435242412a
,UNKNOWN,1,1582143614000,,,17,217417578,382662223,,1582143611000,55435242412a
,TILTING,100,1582143791000,,,16,217417717,382661545,,1582143730000,55435242412a
,STILL,100,1582143956000,,,33,217417578,382662223,,1582143953000,55435242412a
,IN_RAIL_VEHICLE,1,1582144295000,,,26,217417578,382662223,,1582144294000,55435242412a
,STILL,100,1582144330000,,,16,217417678,382662360,,1582144311000,55435242412a
,UNKNOWN,2,1582145709000,,,16,217417717,382661545,,1582145706000,55435242412a
,STILL,100,1582145777000,,,16,217417583,382662368,,1582145784000,55435242412a
,STILL,100,1582146186000,,,16,217417683,382662315,,1582146015000,55435242412a
221,STILL,100,1582147115000,,0,26,217417583,382662227,,1582147112000,55435242412a
,TILTING,100,1582147334000,,,16,217417706,382662325,,1582147469000,55435242412a
,UNKNOWN,2,1582147539000,,,2000,217419030,382655112,,1582147535000,55435242412a
,STILL,100,1582147589000,,,22,217417713,382661782,,1582147573000,55435242412a
,STILL,100,1582148553000,,,26,217417578,382662223,,1582148546000,55435242412a
,STILL,100,1582150348000,,,26,217417578,382662223,,1582150348000,55435242412a
,UNKNOWN,2,1582150545000,,,16,217417668,382661622,,1582150544000,55435242412a
,IN_CAR,10,1582151053000,,,16,217417680,382662338,,1582151055000,55435242412a
,UNKNOWN,1,1582151126000,,,16,217417717,382661545,,1582151106000,55435242412a
,IN_RAIL_VEHICLE,1,1582151196000,,,22,217417824,382661867,,1582151206000,55435242412a
,STILL,100,1582151304000,,,17,217417732,382661653,,1582151326000,55435242412a
,STILL,100,1582151402000,,,16,217417717,382661545,,1582151386000,55435242412a
,STILL,100,1582151548000,,,26,217417578,382662223,,1582151444000,55435242412a
,STILL,100,1582151615000,,,26,217417578,382662223,,1582151667000,55435242412a
,STILL,100,1582152346000,,,16,217417576,382662169,,1582152346000,55435242412a
,STILL,100,1582152879000,,,23,217417578,382662223,,1582152878000,55435242412a
,STILL,100,1582153003000,,,16,217417587,382662222,,1582153003000,55435242412a
,STILL,100,1582153363000,,,26,217417578,382662223,,1582153361000,55435242412a
90,STILL,100,1582156928000,,0,26,217417578,382662223,,1582156928000,55435242412a
0,STILL,100,1582160093000,18,0,8,217419433,382662217,-11,1582160089000,55435242412a
,STILL,100,1582160393000,,,16,217417612,382662224,,1582160393000,55435242412a
,STILL,100,1582166792000,,,16,217417612,382662224,,1582166788000,55435242412a
,STILL,100,1582167089000,,,16,217417574,382662180,,1582167089000,55435242412a
,UNKNOWN,1,1582180350000,,,16,217417729,382661956,,1582180349000,55435242412a
,STILL,100,1582181210000,,,16,217417717,382661545,,1582181206000,55435242412a
,STILL,100,1582181336000,,,2400,217560629,382681071,,1582181388000,55435242412a
,STILL,100,1582181454000,,,26,217417578,382662223,,1582181448000,55435242412a
,STILL,100,1582182253000,,,31,217417578,382662223,,1582182251000,55435242412a
,STILL,100,1582183454000,,,23,217417578,382662223,,1582183452000,55435242412a
,TILTING,100,1582184336000,,,16,217417648,382661897,,1582184175000,55435242412a
,STILL,100,1582184535000,,,22,217417579,382661810,,1582184533000,55435242412a
,IN_CAR,10,1582187191000,,,16,217417717,382661545,,1582187188000,55435242412a
,IN_RAIL_VEHICLE,1,1582187335000,,,22,217417786,382661742,,1582187270000,55435242412a
,UNKNOWN,1,1582187411000,,,22,217417798,382661789,,1582187408000,55435242412a
,UNKNOWN,1,1582187473000,,,23,217417821,382661891,,1582187511000,55435242412a
,STILL,100,1582187731000,2,,31,217417717,382661545,37,1582187651000,55435242412a
,UNKNOWN,2,1582187898000,2,,16,217417724,382661620,37,1582187893000,55435242412a
,IN_CAR,10,1582188052000,,,16,217417764,382661598,,1582188013000,55435242412a
,UNKNOWN,1,1582188137000,,,15,217417639,382661492,,1582188136000,55435242412a
,IN_CAR,10,1582188259000,2,,42,217417273,382662534,34,1582188256000,55435242412a
,IN_CAR,1,1582188470000,,,122,217408823,382662895,,1582188379000,55435242412a
,UNKNOWN,1,1582188627000,,,122,217408823,382662895,,1582188624000,55435242412a
,IN_CAR,10,1582188778000,,,1899,217422756,382657532,,1582188735000,55435242412a
,UNKNOWN,2,1582188854000,,,1899,217422756,382657532,,1582188824000,55435242412a
,STILL,1,1582188931000,,,1899,217422756,382657532,,1582188912000,55435242412a
,UNKNOWN,4,1582189004000,,,1899,217422756,382657532,,1582189001000,55435242412a
,UNKNOWN,2,1582189072000,,,1899,217422756,382657532,,1582189122000,55435242412a
,STILL,1,1582189193000,,,1600,217437661,382563490,,1582189244000,55435242412a
,STILL,100,1582189401000,,,1600,217437661,382563490,,1582189364000,55435242412a
,RUNNING,1,1582189489000,,,1600,217437661,382563490,,1582189486000,55435242412a
,UNKNOWN,1,1582189565000,,,1600,217437661,382563490,,1582189607000,55435242412a
,IN_CAR,10,1582189678000,,,1600,217437661,382563490,,1582189728000,55435242412a
,UNKNOWN,2,1582189884000,,,1600,217437661,382563490,,1582189848000,55435242412a
,STILL,100,1582189972000,,,1600,217437661,382563490,,1582189969000,55435242412a
,IN_CAR,10,1582190125000,,,1600,217437661,382563490,,1582190089000,55435242412a
,IN_CAR,1,1582190213000,,,1600,217437661,382563490,,1582190210000,55435242412a
,UNKNOWN,2,1582190366000,,,1600,217437661,382563490,,1582190331000,55435242412a
,IN_CAR,10,1582190455000,,,1600,217437661,382563490,,1582190452000,55435242412a
,ON_BICYCLE,1,1582190608000,,,1600,217437661,382563490,,1582190590000,55435242412a
,STILL,1,1582190714000,,,1600,217437661,382563490,,1582190711000,55435242412a
,UNKNOWN,3,1582190836000,,,1600,217437661,382563490,,1582190833000,55435242412a
,UNKNOWN,2,1582191146000,,,1600,217437661,382563490,,1582190954000,55435242412a
,IN_RAIL_VEHICLE,2,1582191199000,,,44,217401589,382591715,,1582191196000,55435242412a
,STILL,100,1582191275000,2,,17,217428168,382616845,39,1582191262000,55435242412a
,TILTING,100,1582191443000,,,1799,217467472,382608000,,1582191390000,55435242412a
,STILL,100,1582191468000,,,1799,217467472,382608000,,1582191522000,55435242412a
,STILL,100,1582191596000,,,1799,217467472,382608000,,1582191593000,55435242412a
,STILL,100,1582191668000,,,1799,217467472,382608000,,1582191665000,55435242412a
,IN_CAR,10,1582191740000,,,116,217427665,382621323,,1582191737000,55435242412a
,IN_RAIL_VEHICLE,1,1582191817000,,,116,217427665,382621323,,1582191813000,55435242412a
,WALKING,1,1582191893000,,,1799,217467472,382608000,,1582191903000,55435242412a
,IN_CAR,10,1582191966000,,,2000,217419030,382655112,,1582191972000,55435242412a
,STILL,100,1582192079000,,,2000,217419030,382655112,,1582192041000,55435242412a
,IN_CAR,10,1582192151000,,,2000,217419030,382655112,,1582192128000,55435242412a
,IN_CAR,10,1582192228000,,,2000,217419030,382655112,,1582192214000,55435242412a
,STILL,100,1582192307000,,,2000,217419030,382655112,,1582192304000,55435242412a
,STILL,100,1582192377000,,,2000,217419030,382655112,,1582192392000,55435242412a
